Verlag;V1;V2;V3;V4;V5;V6;V7;V3;V8;V6;V9;V10;V6;V3;V11;V12;V13;V14;V3;V3;V15;V15;V16;V17;V2;V6;V4;V3;V18;V3;V3;V3;V19;V3;V20;V12;V21;V3;V4;V6;V3;V2;V3;V22;V6;V3;V2;V3;V23;Anzahl Aussagen;
Marketing;575,70 €;;;;420,17 €;400,00 €;735,00 €;;579,33 €;500,00 €;650,00 €;200,00 €;400,00 €;;;;;;;;;;1.000,00 €;;;400,00 €;;;;;;;900,00 €;;;903,00 €;;;;500,00 €;;;;3.720,00 €;400,00 €;;;;;11;
Notiz Marketing;;;;;;;Marketing, Metadatenverteilung, A & I;;;;Anzeigen, Kongressauftritte, Werbemittel, Werbekampagnen, Verlagsvorschau, Website, Newsletter, Blogbeiträge;;;;;;;;;;;;Katalogaufnahmen (350 EUR), Einzelwerbemittel (300 EUR), Titelpflege (350 EUR);;;;;;;;;;Marketing/Vertrieb;;;Marketing/Vertrieb;;;;;;;;Marketing & Promotion;;;;;;;
Indexierung;;;;;;;;;521,40 €;;;;;;;;;50,00 €;;;;;;;;;;;;;;;;;;1.095,00 €;;;;;;;;;;;425,00 €;;;2;
Notiz Indexierung;;;;;;;;;;;;;;;;;;auf Google Scholar;;;;;;;;;;;;;;;;;;Datenanreicherung/Metadaten nach Standard Silber;;;;;;;;;;;Datenebarbeitung;;;;
DOI-Vergabe;;;;;;;;;;;;;;;;;;;;;;;;400,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Nutzung Plagiatsprüfungssoftware und DOI-Vergabe;;;;;;;;;;;;;;;;;;132,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Projektmanagement und Gemeinkosten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemeinkosten;1.727,11 €;2.615,13 €;4.395,00 €;3.189,25 €;;;1.615,00 €;600,00 €;;;2.100,00 €;;;600,00 €;1.300,00 €;2.000,00 €;724,50 €;;600,00 €;600,00 €;;;900,00 €;;2.615,13 €;2.000,00 €;1.250,00 €;600,00 €;;600,00 €;600,00 €;600,00 €;1.500,00 €;400,00 €;6.320,53 €;1.448,50 €;1.000,00 €;600,00 €;1.750,00 €;;600,00 €;;600,00 €;120,00 €;;600,00 €;1.037,00 €;600,00 €;800,00 €;22;
Notiz Gemeinkosten;;80 Stunden, Tarifgruppe 13, Stufe 4;;inkl. Lektorat und Werbung;;;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;;Mieten, Gehälter, Infrastruktur;;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;Setzt sich zusammen aus Marketing-/Vertriebskosten (1400) und sonstigen Kosten (600) ;Administration, Büro, Sekretariat (30% der Herstellungskosten);;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;;;;80 Stunden, Tarifgruppe 13, Stufe 4;in Lektorat und Herstellung;inkl. Lektorat und Werbung;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Verlagsgemeinkosten;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;sonstige allg. Verlagsgemeinkosten;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Gemeinkostenzuschlag inkl. Lektorat und Werbung;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Overheads;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;;
Projektmanagement;;;;;420,17 €;1.000,00 €;1.200,00 €;;;4.500,00 €;465,00 €;1.600,00 €;1.000,00 €;;950,00 €;700,00 €;;1.239,00 €;;;;;;;;;;;;;;;;;;973,00 €;1.500,00 €;;;3.000,00 €;;3.112,00 €;;;2.000,00 €;;;;400,00 €;10;
